epoch, train_loss, test_loss, forward_time, backward_time, train_error, test_error
0,3.7867239077885944,3.7655406338827953,3319.437244415283,350.71987199783325,1.0,1.0
1,3.7525445461273192,3.7198698861258372,2624.3831968307495,312.56893658638,1.0,1.0
2,3.6707090973854064,3.570352520261492,2658.968274831772,308.0307013988495,1.0,1.0
3,3.4989962538083392,3.391505650111607,2729.985193967819,314.88166427612305,1.0,1.0
4,3.2384538412094117,3.056586606161935,2836.6226370334625,309.0310389995575,1.0,1.0
5,2.940476047992706,2.7670866761888777,2761.149553537369,302.8503715991974,1.0,1.0
6,2.6658819953600568,2.501256057194301,2657.9812712669373,298.551629781723,1.0,1.0
7,2.4371918559074404,2.3791515145983015,2598.244141817093,283.29073691368103,1.0,1.0
8,2.2984105984369916,2.206659827913557,2564.160791158676,280.1991374492645,1.0,1.0
9,2.222413929303487,2.2221343176705495,2676.3220722675323,289.66335225105286,1.0,1.0
10,2.1958709160486856,2.2006196635110036,2407.578605413437,278.224059343338,1.0,1.0
11,2.1943340857823688,2.157585450581142,2742.417493581772,297.5414950847626,1.0,1.0
12,2.1554639180501303,2.10575955254691,2702.1720495224,284.9374129772186,1.0,1.0
13,2.1334019641081494,2.1105663776397705,2417.034735918045,283.59694814682007,1.0,1.0
14,2.1109362840652466,2.109499454498291,2811.532463312149,288.45288467407227,1.0,1.0
15,2.11218505303065,2.1030474730900357,2698.678929567337,286.7334415912628,1.0,1.0
16,2.0789145648479463,2.104447569165911,3411.4492526054382,550.0954701900482,1.0,1.0
