epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.5140836811982669,0.38116978321756634,-0.07522842975763175,-0.04090943347130503,33.38562607765198,4.049972295761108
1,0.5079369510595615,0.4759539876665388,-0.07690790095008336,-0.07275059925658363,33.24256873130798,3.9762442111968994
2,0.49657093446988326,0.4809310478823526,-0.08061476252399959,-0.08065416344574519,33.320573568344116,4.086273193359375
3,0.48431466061335343,0.47416444761412485,-0.08437508774491456,-0.08504269165652138,33.063037157058716,4.02195930480957
4,0.4730400832799765,0.46444906507219585,-0.0881268923672346,-0.08850222187382835,33.09390306472778,3.9552245140075684
5,0.46170467826036304,0.452106420482908,-0.09218415904503602,-0.09236188658646174,32.655088663101196,3.893205165863037
6,0.45086106199484605,0.44096371105739046,-0.0960693396627903,-0.09587943021740232,33.57959866523743,5.576711177825928
7,0.4396266627770204,0.42984770451273235,-0.10028707551268431,-0.10066378968102592,33.23596119880676,4.017727851867676
8,0.428468888768783,0.41573417612484526,-0.10438601987866256,-0.10277968751532691,33.50395584106445,3.945206642150879
9,0.4180542482779576,0.40918820670672823,-0.10880428036818138,-0.1083090433052608,33.37319278717041,3.9650328159332275
10,0.4077889151298083,0.39893557344164166,-0.11320450300207505,-0.11222230110849653,33.46570706367493,3.9663608074188232
11,0.3976609810040547,0.38901154484067646,-0.11770870164036751,-0.11663005713905607,32.69441604614258,3.8900582790374756
12,0.38783399072977215,0.378099079642977,-0.12233286551558055,-0.12138444291693824,32.798261642456055,3.869697093963623
13,0.3781790676025244,0.3699000818388803,-0.12694906242764914,-0.12553268671035767,32.30974793434143,3.819810152053833
14,0.3687550253593005,0.36084525500025066,-0.13172466365190652,-0.13037440606525966,32.682775020599365,3.8828420639038086
15,0.3597050721828754,0.35120032940592083,-0.13658672055372825,-0.1339702925511769,34.06104874610901,4.03989577293396
16,0.35128909807938796,0.34369626215526033,-0.14148906675668863,-0.13838306282247817,33.236188650131226,3.75968599319458
17,0.34249542768184954,0.33438290868486675,-0.14643866224930838,-0.14428777141230448,32.9923734664917,3.786320924758911
18,0.3345321462704585,0.32562468307358877,-0.1514251077404389,-0.1493186205625534,33.67036461830139,3.79665470123291
19,0.3262702547586881,0.31829300097056795,-0.15663556181467497,-0.15403541709695542,33.39549016952515,3.8533170223236084
