epoch, train_loss, test_loss, forward_time, backward_time, train_error, test_error
0,0.43878499592343967,0.08794510683843068,121.55889940261841,51.403154134750366,0.9795555555555555,0.866
1,0.045445285240809125,0.012475758524877685,121.04791855812073,48.82530856132507,0.3937777777777778,0.014
2,0.006534318556077778,0.003837364659245525,120.87942051887512,48.32505559921265,0.0023333333333333335,0.0
3,0.003934859888007244,0.0044392818318946025,120.74661135673523,48.88945484161377,0.00022222222222222223,0.001
4,0.004491597274318337,0.006466937717050314,119.38976836204529,49.51331329345703,0.0007777777777777777,0.0
5,0.006738785631023347,0.008384403972221273,118.48404002189636,48.28666687011719,0.0026666666666666666,0.004
6,0.007912720072393615,0.008555701534662927,117.75033569335938,46.949732542037964,0.004333333333333333,0.005
7,0.008216661944364509,0.008265415206551552,116.30392670631409,47.95588183403015,0.005666666666666667,0.009
8,0.006692272960208356,0.00849349397633757,119.38656735420227,49.54220533370972,0.002,0.006
9,0.008269222173839807,0.010679034915353571,117.98653674125671,48.395830392837524,0.004333333333333333,0.013
10,0.00808695947440962,0.006547966439809118,120.31813931465149,48.284663438797,0.005333333333333333,0.002
11,0.0066248820473750435,0.005802423028009278,119.96635150909424,48.277520179748535,0.0015555555555555555,0.003
12,0.006465195057292779,0.006211580109915563,113.06494975090027,46.4612135887146,0.002,0.002
13,0.006640812405385077,0.006365902123174497,119.63590621948242,48.863234758377075,0.0025555555555555557,0.002
14,0.007914893507647017,0.00814154651015997,120.35460615158081,48.44197177886963,0.005111111111111111,0.003
15,0.006803468576011559,0.006174114998430014,116.2983934879303,48.75786089897156,0.001888888888888889,0.0
16,0.006248855427838862,0.007513821324599641,118.96753883361816,49.05438041687012,0.0022222222222222222,0.008
17,0.0070198395289480684,0.0066033412835427695,118.5040454864502,47.33422780036926,0.0038888888888888888,0.002
