epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.5144697800278664,0.5177271205645341,-0.08178202034189151,-0.08105400261970666,8.41307520866394,3.4762790203094482
1,0.987834574511418,1.9775519554431622,-0.39437483723920125,-0.49953938447512114,8.633496761322021,3.442075729370117
2,2.1662984169446506,2.199174165725708,-0.5001525145310622,-0.4996183675069075,8.756798505783081,3.685363292694092
3,2.2480095395675073,2.2303278629596415,-0.4993552565574646,-0.49967589515906113,8.679829835891724,3.3058032989501953
4,2.2689752028538632,2.247187797839825,-0.49964912178424686,-0.4996657050572909,8.534268617630005,3.263871192932129
5,2.284270845926725,2.2562423485976,-0.4996568445975964,-0.49970806332734913,8.62385368347168,3.279808521270752
6,2.3036348590484033,2.278620408131526,-0.49942851868959576,-0.4997721750002641,8.586714744567871,3.372241258621216
7,2.317804359472715,2.2971486495091367,-0.49946622263926727,-0.49969393473405105,8.74087643623352,3.262819528579712
8,2.3309082434727597,2.3076528219076304,-0.49969550795280016,-0.49967942100304824,8.673755168914795,3.2949554920196533
9,2.3498730338536777,2.339702221063467,-0.4995053450648601,-0.499701956143746,8.539478063583374,3.3499817848205566
10,2.360012563375326,2.341065626878005,-0.49981260013121825,-0.49995324932611906,8.58163046836853,3.3752646446228027
11,2.370512013251965,2.3481788451855,-0.4992590397596359,-0.4997248282799354,9.36183762550354,3.933906078338623
12,2.3762167325386634,2.3532390777881327,-0.49962822978313154,-0.49980661043753993,8.578735828399658,3.2673959732055664
13,2.3815848460564246,2.3564989933600793,-0.4996400721944295,-0.499851419375493,8.549411296844482,3.274545907974243
14,2.3953235424481907,2.367720493903527,-0.5001634961137404,-0.49990509106562686,8.672774314880371,3.2563247680664062
15,2.4016458575542154,2.3661757982694187,-0.49952986263311827,-0.49975966719480663,8.694548845291138,3.258498430252075
16,2.4068175966923055,2.382300853729248,-0.5002116807378255,-0.49978418075121367,8.757146120071411,3.3231284618377686
17,2.411748551405393,2.3849239349365234,-0.5000413535879209,-0.49975796387745786,8.610038995742798,3.2527084350585938
18,2.417459277006296,2.4008174492762637,-0.49982704050265825,-0.4998704126247993,8.888594627380371,3.2962183952331543
19,2.42753634086022,2.3964672638819766,-0.4996792800151385,-0.499724044249608,8.628452062606812,3.2541606426239014
