epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.4867258622096135,0.4838736355304718,-0.08989266850627385,-0.08887605082530242,8.852066278457642,3.8028008937835693
1,1.0019290458697538,1.9954723303134625,-0.4016047012634002,-0.4972696625269376,9.26523733139038,3.7647337913513184
2,2.1714285680880914,2.201361656188965,-0.5018062729101914,-0.4973959051645719,9.560289144515991,3.6678788661956787
3,2.24363119327105,2.2424986912653995,-0.501583928672167,-0.49741514829488903,9.32698917388916,3.612680673599243
4,2.265625082529508,2.261304415189303,-0.5018145098136022,-0.49746975761193496,9.138683319091797,3.688960075378418
5,2.286350089770097,2.2797818917494554,-0.500889455469755,-0.49761555745051456,9.174605369567871,3.6023895740509033
6,2.2987582912811866,2.2812315133901744,-0.5015036647136395,-0.49737131137114304,9.109785556793213,4.342291593551636
7,2.3118489430500913,2.2956586434290958,-0.5013436996019803,-0.4975036703623258,9.2311429977417,3.593729019165039
8,2.3272362305567813,2.3059071394113393,-0.5014663682534144,-0.4973069200148949,9.229129552841187,3.6462366580963135
9,2.3346533408531775,2.322340726852417,-0.5019176424695895,-0.49744707345962524,9.10533881187439,3.589390993118286
10,2.353899446817545,2.3323255135462833,-0.5019298940896988,-0.49762148352769703,9.06199049949646,3.6738476753234863
11,2.3599850627092214,2.3358251681694617,-0.5018439820179572,-0.4974957750393794,9.054994821548462,3.559903621673584
12,2.3692450477526736,2.344663509955773,-0.5016475835671792,-0.4974520000127646,9.517606973648071,3.73962140083313
13,2.3746505104578457,2.347612197582538,-0.5015990711175479,-0.49744544808681196,9.12285828590393,3.5523769855499268
14,2.376791578072768,2.363272190093994,-0.5017581616456692,-0.49741952006633466,9.217376470565796,3.5846810340881348
15,2.388069817653069,2.3721539974212646,-0.5014278923089688,-0.49729278683662415,9.097330570220947,3.674461603164673
16,2.3947741435124326,2.3677476736215444,-0.501591339134253,-0.49751914923007673,9.081189393997192,3.5703952312469482
17,2.3996979685930104,2.3797370287088246,-0.5015635937452316,-0.4974267299358661,9.280962467193604,3.562058448791504
18,2.4164495330590468,2.390328517326942,-0.501696438743518,-0.49743638588831973,9.172316074371338,3.7078418731689453
19,2.4193108677864075,2.392576125951914,-0.501226156949997,-0.49749443851984465,9.078065395355225,3.6193008422851562
