epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.4130022886853952,0.4185922833589407,-0.08909400237294343,-0.08984820888592647,5.288296699523926,2.5362892150878906
1,0.8752654991470851,1.731414767412039,-0.41638631445284074,-0.499771012709691,5.484826326370239,2.524397611618042
2,1.9550749040566957,2.011106353539687,-0.4991001979662822,-0.5001341310831217,5.368319988250732,2.4879562854766846
3,2.0482789071706624,2.0323343918873715,-0.4980641557620122,-0.5004798105129828,5.50301718711853,2.488313674926758
4,2.0678581251547885,2.038342448381277,-0.4986582702169052,-0.49985414972672093,5.353210926055908,2.4654598236083984
5,2.0753440054563375,2.055218531535222,-0.49911535588594585,-0.5002047419548035,5.3485517501831055,2.4885051250457764
6,2.0910051602583666,2.076875237318186,-0.49834491083255184,-0.5005769225267264,5.336430072784424,2.463151454925537
7,2.103031658209287,2.0795598121789785,-0.4986942553749451,-0.5003333985805511,5.605906248092651,2.471067190170288
8,2.1156916664196896,2.0937520357278676,-0.4988042414188385,-0.5005531013011932,5.331548452377319,2.46404767036438
9,2.1246868807535906,2.106742547108577,-0.4978913366794586,-0.49960955060445345,5.357580661773682,2.573155403137207
10,2.120464861392975,2.1049501529106727,-0.500187007853618,-0.5002480768240415,5.336609125137329,2.5649404525756836
11,2.1293003604962277,2.103563217016367,-0.4991135224699974,-0.5000501664785238,5.459394216537476,2.5726161003112793
12,2.1305041955067563,2.0935533230121317,-0.49803032726049423,-0.5005308504288013,5.3357932567596436,2.4669249057769775
13,2.140612386740171,2.1142027378082275,-0.4983869349727264,-0.5004531947466043,5.332290887832642,2.4643332958221436
14,2.133064187490023,2.1091189017662635,-0.4996216698334767,-0.5001608591813308,5.5804877281188965,2.5366528034210205
15,2.1418052315711975,2.114878251002385,-0.49765044565384203,-0.5002290354325221,5.390637159347534,2.4792938232421875
16,2.138637139247014,2.1143512909228983,-0.49849670323041767,-0.5001816405699804,5.333572149276733,2.467195510864258
17,2.145682671895394,2.1243459444779615,-0.4980908540578989,-0.5000559825163621,5.425867319107056,2.4647278785705566
18,2.146608889102936,2.120008551157438,-0.499102207330557,-0.49997320541968715,5.404578685760498,2.6026978492736816
19,2.1407994673802304,2.1219373666323147,-0.4993828638241841,-0.5002738856352292,5.347426891326904,2.467986822128296
