epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.6347921765767611,0.6333411244245676,-0.05132089426311163,-0.05069518547791701,5.915304899215698,2.871854782104492
1,0.9700052021787717,1.938693798505343,-0.3840939419057507,-0.495032956966987,6.142601490020752,2.8795599937438965
2,2.2466643315095167,2.337634196648231,-0.5005468089993184,-0.49611369921610904,5.980950832366943,2.854158639907837
3,2.3550975139324484,2.363094348173875,-0.5008238617044228,-0.49613184883044315,6.094668865203857,2.867130994796753
4,2.3772775668364305,2.3758676052093506,-0.5008393222322831,-0.49658265939125645,5.988654851913452,2.8305275440216064
5,2.3903599977493286,2.3907281435452976,-0.4998592379001471,-0.4961014550465804,5.964888095855713,2.841723680496216
6,2.4023920526871314,2.3935810786027174,-0.5005228009361488,-0.49629722420985883,6.027204751968384,2.8456966876983643
7,2.4111451414915233,2.403650944049542,-0.5011885469922652,-0.49642622700104344,6.292409420013428,2.948618173599243
8,2.41669486119197,2.4146755108466516,-0.5002532578431643,-0.49636231706692624,5.957470417022705,2.8369131088256836
9,2.429027951680697,2.4151687988868127,-0.49977806783639467,-0.49687863083986133,5.984954118728638,2.8354859352111816
10,2.428482275742751,2.42461529144874,-0.5012394740031316,-0.4959788735096271,6.164946794509888,3.045677900314331
11,2.4368165960678687,2.4343328842749963,-0.5007140882886373,-0.4966236994816707,5.976703643798828,2.878678560256958
12,2.4438113340964684,2.446855196586022,-0.5008165349180882,-0.4966645332483145,5.987051248550415,2.838418960571289
13,2.448524383398203,2.4368634957533617,-0.5007001826396356,-0.4959327211746803,6.059816360473633,2.856475353240967
14,2.443100291949052,2.4441843766432543,-0.5011009677098348,-0.49651296322162336,6.147855520248413,2.853121280670166
15,2.448052947337811,2.444210932804988,-0.5009368090675428,-0.49616459241280186,5.954932928085327,2.849592447280884
16,2.4550904081417966,2.443355285204374,-0.5003238240113626,-0.49665398322618926,6.124886512756348,2.9200005531311035
17,2.4558936082399807,2.449638238319984,-0.5005430596379133,-0.49612366694670457,6.100171089172363,2.8543853759765625
18,2.46346239401744,2.458722793138944,-0.5008456139610364,-0.495979171532851,5.961829900741577,2.8380963802337646
19,2.4646738905173082,2.4524885691129246,-0.5006318057958896,-0.49615084666472214,5.970965147018433,2.8367843627929688
