epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.4993979736016347,0.4997519621482262,-0.07831260834175807,-0.07804137009840745,15.567265510559082,5.762114524841309
1,1.0200642192592988,2.0634077879098744,-0.39413801222466505,-0.4996400842299828,16.721715927124023,6.178382635116577
2,2.2585112773455105,2.2821119015033426,-0.5004205887134259,-0.49981436821130604,16.228488206863403,5.422718048095703
3,2.3295407478625956,2.3033601137307973,-0.5005773512216715,-0.4998524899666126,16.52237319946289,5.616021633148193
4,2.3537105184334974,2.3192023497361403,-0.5004253742786554,-0.4997791579136482,16.323821783065796,5.491728067398071
5,2.3725794416207533,2.343142711199247,-0.5003502282958764,-0.4998503694167504,16.13014554977417,5.410768270492554
6,2.3897916903862586,2.357662237607516,-0.5004872209750689,-0.4998567196039053,16.478311777114868,5.492391586303711
7,2.4062105463101315,2.37288707953233,-0.5005274615608729,-0.4997678788808676,16.23249316215515,5.375760555267334
8,2.4178543595167308,2.386793796832745,-0.5003403740433546,-0.4997592499622932,16.062318086624146,5.4688050746917725
9,2.4299639142476597,2.3997650146484375,-0.500397020807633,-0.4998019773226518,16.00498104095459,5.341960430145264
10,2.4488274455070496,2.4157827450678897,-0.5004237838662587,-0.4998531685425685,15.979389667510986,5.458673000335693
11,2.4586992859840393,2.4272268368647647,-0.500513324370751,-0.49983075031867397,15.903616189956665,5.33730411529541
12,2.4673580756554236,2.433917999267578,-0.5002272381232336,-0.4998670587172875,16.74021625518799,5.967728137969971
13,2.4753395273135257,2.4367541533250074,-0.5003808639370478,-0.49988555678954494,16.0586838722229,5.364118814468384
14,2.480727296609145,2.4412143413837137,-0.5002066579002601,-0.4999622931847206,17.12592315673828,5.506694316864014
15,2.489590828235333,2.443998593550462,-0.499945047383125,-0.49980599605120146,16.092478275299072,5.415750980377197
16,2.496333498221177,2.4547474200908956,-0.5001708016945765,-0.49989635669268095,17.21083116531372,6.012838125228882
17,2.5025973457556505,2.474608402985793,-0.5004102043234385,-0.4998917029454158,16.120344638824463,5.723539590835571
18,2.516077926525703,2.4809879706456113,-0.5004703127420865,-0.4998230498570662,16.113344192504883,5.3549110889434814
19,2.520715906069829,2.491423350114089,-0.5002632462061368,-0.4998444479245406,16.432162046432495,5.453691482543945
