epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.5175499904614228,0.4921470307386838,-0.07407777183330976,-0.06943942835697761,31.688878536224365,1.939272165298462
1,0.5060069331756005,0.493607942874615,-0.07725241078207126,-0.08242924969929916,31.483970642089844,1.8955590724945068
2,0.48272668627592236,0.46927574276924133,-0.08417369224704228,-0.08758962899446487,31.601162433624268,1.8840665817260742
3,0.4600056856870651,0.4463693843438075,-0.09155223146080971,-0.09547531203581737,31.68781590461731,1.890955924987793
4,0.43770465025535,0.4225055208572975,-0.09930381422432569,-0.10252409657606712,31.69350290298462,1.884338617324829
5,0.4167799393718059,0.4077673531495608,-0.1074498430467569,-0.11131105858546037,31.450684309005737,1.8833720684051514
6,0.3964041775235763,0.3843108805326315,-0.1158033014776615,-0.11881686173952542,31.38283109664917,1.893280267715454
7,0.377328845170828,0.3685817145384275,-0.1248356016496053,-0.12779039717637575,31.32685089111328,1.892834186553955
8,0.35918210733395356,0.3498238829466013,-0.13401042612699363,-0.1354563906788826,31.561325311660767,1.8847291469573975
9,0.3433204235938879,0.3330763211617103,-0.14331243215845182,-0.14600314429173103,31.33224081993103,1.886458396911621
10,0.3272540649542442,0.3195238709449768,-0.153320202174095,-0.1564646030847843,31.505762100219727,1.8953547477722168
11,0.31279389330973995,0.30809996678278995,-0.16327306972100183,-0.1670547047486672,31.480434894561768,1.88912034034729
12,0.2998542378728206,0.29178462349451506,-0.17332886388668647,-0.1750360635610727,31.59736919403076,1.890474557876587
13,0.2884898552527794,0.28324451584082383,-0.18374952874504602,-0.1847214137132351,31.55648374557495,1.8824965953826904
14,0.27839488077622193,0.2737637391457191,-0.19423900888516352,-0.19664162053511694,31.516253232955933,1.8980793952941895
15,0.269503719245012,0.26685022849303025,-0.20494945891774619,-0.2053744116654763,31.762118339538574,1.8842554092407227
16,0.26230530784680295,0.2605978846549988,-0.21547722014097068,-0.21620554419664237,31.550049304962158,1.8893723487854004
17,0.2565353140234947,0.2541242688894272,-0.22616866918710563,-0.22526724292681768,31.72042489051819,1.8933334350585938
18,0.2519708015024662,0.2488309064736733,-0.2368696088401171,-0.2352040971700962,31.796109199523926,1.8952713012695312
19,0.24910810933663294,0.24930312427190635,-0.24762204346748498,-0.24776110167686755,31.554796934127808,1.890995740890503
