epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.4130022886853952,0.4185922833589407,-0.08914073613973764,-0.08984820888592647,1.4813909530639648,0.12640762329101562
1,0.8802548005030706,1.7440752341197088,-0.4165730093820737,-0.499734816642908,1.325115442276001,0.0963752269744873
2,1.9623289658473089,2.017327125255878,-0.4991029455111577,-0.5001380924995129,1.2496039867401123,0.0961601734161377
3,2.051361478292025,2.0454831215051503,-0.4980537902850371,-0.5004962499325092,1.1984939575195312,0.09906816482543945
4,2.075690051684013,2.0562732127996592,-0.4986497238278389,-0.49987104764351475,1.210167646408081,0.09957289695739746
5,2.087074284370129,2.0761029170109677,-0.4991049233537454,-0.5002112663709201,1.1722290515899658,0.09519481658935547
6,2.1094807340548587,2.097470210148738,-0.49834055166978103,-0.5005829150860126,1.1445674896240234,0.09528470039367676
7,2.118773400783539,2.1005700643245993,-0.49868927953334957,-0.5003394163571872,1.1481268405914307,0.09523820877075195
8,2.122228388602917,2.103931188583374,-0.4987996415450023,-0.5005623079263247,1.140965223312378,0.09535884857177734
9,2.124671656351823,2.1130665999192457,-0.49788682277386004,-0.49960334025896513,1.1319377422332764,0.09510445594787598
10,2.1260050649826345,2.1145984392899733,-0.5001803074891751,-0.5002569716710311,1.1230354309082031,0.0951690673828125
11,2.1376363245340495,2.1171016693115234,-0.49910772763765776,-0.500051370033851,1.1321055889129639,0.0952153205871582
12,2.1406429409980774,2.1051362386116614,-0.4980251181584138,-0.5005143628670619,1.1089904308319092,0.09510254859924316
13,2.149075081715217,2.1237836250892053,-0.49838112409298235,-0.5004612459586217,1.1219863891601562,0.09515929222106934
14,2.1446631229840794,2.1226386290330153,-0.49961621830096614,-0.5001615308798276,1.1064932346343994,0.09502863883972168
15,2.1593248706597548,2.1392158361581655,-0.4976401116985541,-0.5002265389149005,1.113724708557129,0.09512877464294434
16,2.1668056066219625,2.1416954627403846,-0.4984902854149158,-0.5001727044582367,1.1320133209228516,0.09524250030517578
17,2.172928979763618,2.1544414300184984,-0.49808507011486935,-0.5000441097296201,1.0962433815002441,0.09540867805480957
18,2.172430946276738,2.156804213157067,-0.4990963311149524,-0.49996495246887207,1.1029067039489746,0.09519124031066895
19,2.171484566651858,2.148397445678711,-0.4993767807116875,-0.5002604860525864,1.1031715869903564,0.0950319766998291
