epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.49528059707238126,0.4881697136622209,-0.08150321173553284,-0.08207166137603614,6.9537553787231445,0.43163204193115234
1,1.0054865553975105,2.0133631229400635,-0.39612168216934573,-0.4992709687122932,5.80708909034729,0.43183469772338867
2,2.1972476748319774,2.241235586313101,-0.49975209339306903,-0.49954595932593715,5.415893316268921,0.4294474124908447
3,2.2790727202708903,2.259284257888794,-0.49926121762165654,-0.49953267666009754,5.356460332870483,0.46567416191101074
4,2.302575322297903,2.283087968826294,-0.49961259903816074,-0.4994590236590459,5.163954257965088,0.42989420890808105
5,2.313428507401393,2.292339508350079,-0.49979883203139674,-0.4995396160162412,5.171598196029663,0.44182348251342773
6,2.3269099501463084,2.3130160111647387,-0.4997852278443483,-0.49937934141892654,5.106003761291504,0.4298558235168457
7,2.3368350725907545,2.325142970451942,-0.4997691489182986,-0.4995691157304324,7.117283582687378,0.7980132102966309
8,2.353054014536051,2.328706833032461,-0.4998758246119206,-0.4997203762714679,5.013063907623291,0.4299337863922119
9,2.3651859989533057,2.3350091530726504,-0.49932602449105334,-0.49955686239095837,5.011981248855591,0.43137359619140625
10,2.3773315778145423,2.350166284121,-0.49978156788991046,-0.4994585674542647,4.997920751571655,0.4300801753997803
11,2.381979919396914,2.3612959384918213,-0.49997637363580555,-0.4994309934285971,6.38390326499939,0.5268721580505371
12,2.388685781222123,2.3628410009237437,-0.5003568438383249,-0.4993791396801288,4.975858688354492,0.4298386573791504
13,2.390828338953165,2.376947421293992,-0.4993986699443597,-0.4994776959602649,4.954619407653809,0.4312429428100586
14,2.4009330501923194,2.3683857184190016,-0.4997188981909018,-0.4994105903001932,5.007421016693115,0.43181920051574707
15,2.4057641258606544,2.3802596238943248,-0.4996548747787109,-0.4995630200092609,5.15541672706604,0.47531819343566895
16,2.413724239055927,2.3948130240807166,-0.4998149132499328,-0.4995170258558713,6.293433904647827,0.4328007698059082
17,2.426420505230243,2.4025440216064453,-0.5001280382275581,-0.4996975018427922,4.907222509384155,0.4311394691467285
18,2.4306649153049174,2.4038336827204776,-0.49927461548493457,-0.4994450807571411,4.961604595184326,0.42944884300231934
19,2.4349384628809414,2.4083810035999003,-0.49992463565789735,-0.4994861644047957,5.81494927406311,0.47147631645202637
